SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
185721978,843095716,SA24,REPAIR BASIN-MAJOR,2019-07-01T00:00:00.000,2019-07-01T05:00:00.000,2019-06-17T14:44:55.000,2019-07-06T00:45:08.000
186015120,843141581,SA24,REPAIR BASIN-MAJOR,2020-01-06T16:30:00.000,2020-01-06T21:00:00.000,2019-09-28T09:48:50.000,2020-01-08T00:45:02.000
185730825,842878342,SA23,REPAIR BASIN-MINOR,2019-07-11T10:25:00.000,2019-07-11T12:15:00.000,2018-04-16T01:14:50.000,2019-08-10T00:45:08.000
185692604,842832322,SA26,REPLACE MANHOLE CASTING,2019-09-16T00:00:00.000,2019-09-16T00:00:00.000,2018-01-24T09:41:57.000,2019-09-17T00:45:09.000
185696068,842834388,SA26,REPLACE MANHOLE CASTING,2019-09-16T00:00:00.000,2019-09-16T00:00:00.000,2018-01-29T18:02:40.000,2019-09-17T00:45:09.000
186047917,843176679,WA10,RESET/REPLACE VALVE BOX,2019-12-17T11:45:00.000,2019-12-17T12:15:00.000,2019-12-01T14:22:04.000,2019-12-19T00:45:02.000
185909049,843508252,WA12I,APPLY HOT PATCH,2020-12-23T14:05:00.000,2020-12-23T14:45:00.000,2020-11-01T11:10:03.000,2021-01-31T00:45:02.000
186045347,843195028,SCR,ROD CATCH BASIN CONNECTION,2020-01-06T10:45:00.000,2020-01-06T12:10:00.000,2020-01-08T12:27:26.000,2020-01-09T00:45:02.000
185889415,843147867,WA12I,APPLY HOT PATCH,2020-05-26T13:35:00.000,2020-05-26T13:40:00.000,2019-04-05T11:34:42.000,2020-06-02T00:45:06.000
185630039,843193648,SA26,REPLACE MANHOLE CASTING,2020-01-25T01:00:00.000,2020-01-25T06:00:00.000,2020-01-05T11:50:37.000,2020-01-27T00:45:02.000
185909686,843049539,WA05,REPAIR OPERATIVE HYDRANT,2019-05-20T13:10:00.000,2019-05-20T14:10:00.000,2019-04-09T10:08:58.000,2019-05-23T00:45:05.000
185842473,843017788,WA03,INSTALL TOP SECTION,2019-05-05T09:20:00.000,2019-05-05T09:45:00.000,2019-01-21T09:42:25.000,2019-05-08T00:45:09.000
185630039,843203379,WA12I,APPLY HOT PATCH,,,2020-01-25T22:45:03.000,2020-01-26T00:45:02.000
185875802,843225566,SA35,LOCATE& RAISE BURIED MH COVER,,,2020-02-25T10:54:56.000,2020-03-25T00:45:02.000
185846135,843014860,WA04,REPAIR INOPERATIVE HYDRANT,2019-05-05T11:50:00.000,2019-05-05T12:20:00.000,2019-01-13T10:34:45.000,2019-05-08T00:45:09.000
185844786,843133333,WA12I,APPLY HOT PATCH,2020-03-15T11:35:00.000,2020-03-15T12:15:00.000,2018-11-26T11:07:02.000,2020-03-17T00:45:02.000
185901607,843040730,SA24,REPAIR BASIN-MAJOR,2019-06-06T07:50:00.000,2019-06-06T10:50:00.000,2019-03-18T03:24:18.000,2019-06-09T00:45:09.000
185725986,842875097,SA23,REPAIR BASIN-MINOR,,2019-09-03T00:00:00.000,2018-04-08T13:48:05.000,2019-09-09T00:45:09.000
184855079,841840973,SA27,PERFORM OTHER MANHOLE WORK,2019-09-26T08:00:00.000,2019-09-26T11:00:00.000,2013-06-24T10:49:16.000,2019-09-29T00:45:07.000
1758211,1634990,SA25,REPAIR CONNECTION,,,2012-05-28T18:00:47.000,2019-10-01T00:45:07.000
1775443,1563281,SA25,REPAIR CONNECTION,,,2012-01-12T15:45:28.000,2019-10-01T00:45:07.000
1790207,1634976,SA25,REPAIR CONNECTION,,,2012-05-28T17:33:02.000,2019-10-01T00:45:07.000
1796441,1636309,SA25,REPAIR CONNECTION,,,2012-05-31T09:37:30.000,2019-10-01T00:45:07.000
1860546,1624702,SA25,REPAIR CONNECTION,,,2012-05-07T09:46:11.000,2019-10-01T00:45:07.000
1876596,1621813,SA25,REPAIR CONNECTION,,,2012-04-30T18:31:28.000,2019-10-01T00:45:07.000
186049996,843177936,WA03,INSTALL TOP SECTION,2019-12-10T10:30:00.000,2019-12-17T09:40:00.000,2019-12-04T05:28:02.000,2019-12-22T00:45:01.000
185902010,843043397,SDHC,ISSUE DEFECTIVE HOUSE CONNECT.,2019-06-06T09:20:00.000,2019-06-06T09:30:00.000,2019-03-25T10:17:54.000,2019-06-12T00:45:08.000
185785500,842941270,SA24,REPAIR BASIN-MAJOR,,2019-07-25T00:00:00.000,2018-08-04T11:52:58.000,2019-08-07T00:45:08.000
185785831,843083350,WA12I,APPLY HOT PATCH,2019-07-14T10:50:00.000,2019-07-14T11:30:00.000,2018-07-28T17:39:45.000,2019-07-16T00:45:12.000
185786750,843103794,WA12I,APPLY HOT PATCH,2019-07-14T13:50:00.000,2019-07-14T14:15:00.000,2018-08-25T12:40:47.000,2019-07-16T00:45:12.000
185613867,842744025,WA14A,INSTALL CUSTODIAN LOCK,,2019-05-13T20:10:00.000,2017-07-18T11:38:09.000,2019-05-14T00:45:08.000
185921498,843104755,WA12I,APPLY HOT PATCH,2020-12-23T10:45:00.000,2020-12-23T11:10:00.000,2019-07-08T09:40:44.000,2021-01-31T00:45:02.000
185631393,842757522,WA14B,REPLACE CUSTODIAN LOCK,,2019-10-14T19:34:00.000,2017-08-20T10:21:36.000,2019-10-15T00:45:08.000
186061331,843195237,WLDSC,SCAN WATER MAINS- LEAK DET.,2020-01-09T10:00:00.000,2020-01-09T11:00:00.000,2020-01-10T07:17:34.000,2020-01-11T00:45:02.000
186041733,843169492,SA23,REPAIR BASIN-MINOR,,,2019-11-19T14:49:55.000,2019-11-22T00:45:09.000
185675543,842808321,SA24,REPAIR BASIN-MAJOR,,2020-08-02T10:41:00.000,2017-12-12T09:51:55.000,2020-08-03T00:45:07.000
185633432,843053696,SRL,LINE SEWER (CONTRACTOR),2019-05-07T00:00:00.000,2019-05-14T00:00:00.000,2019-04-20T14:48:08.000,2019-06-26T00:45:06.000
186186324,843473787,SVAC,VACTOR SEWER,2020-09-01T07:00:00.000,2020-09-01T15:00:00.000,2020-09-02T09:00:07.000,2020-09-16T00:45:03.000
185994278,843125581,SMPC,POLE CAMERA,2019-09-10T10:00:00.000,2019-09-10T10:30:00.000,2019-08-31T14:18:46.000,2019-09-12T00:45:09.000
186022170,843154855,SA26,REPLACE MANHOLE CASTING,2019-12-28T11:55:00.000,2019-12-28T12:05:00.000,2019-10-20T11:52:53.000,2020-01-13T00:45:02.000
185959790,843109733,WA10,RESET/REPLACE VALVE BOX,2020-03-02T08:10:00.000,2020-03-02T13:35:00.000,2019-07-24T05:31:51.000,2020-03-05T00:45:02.000
1982151,1726754,SA26,REPLACE MANHOLE CASTING,2019-09-02T09:15:00.000,2019-09-02T09:15:00.000,2012-09-24T11:56:58.000,2019-09-08T00:45:09.000
185766284,842909491,SA23,REPAIR BASIN-MINOR,,2019-07-12T00:00:00.000,2018-06-18T13:48:35.000,2019-07-15T00:45:06.000
185385285,842428519,SA26,REPLACE MANHOLE CASTING,,,2016-03-02T11:09:36.000,2019-08-13T00:45:08.000
185431242,843111187,WA12I,APPLY HOT PATCH,2019-07-28T10:25:00.000,2019-07-28T10:50:00.000,2019-07-29T08:35:32.000,2019-07-30T00:45:09.000
185538140,843454739,SCC,CLEAN CATCH BASIN/INLET,2020-07-04T12:05:00.000,2020-07-04T12:55:00.000,2020-08-01T20:41:25.000,2020-08-02T00:45:02.000
185868348,843016486,SA12R,CAVE IN RESTORATION,2019-02-04T20:00:00.000,2020-04-07T08:50:00.000,2019-01-16T15:17:11.000,2020-04-19T00:45:04.000
185758608,842905189,WA14A,INSTALL CUSTODIAN LOCK,,2019-05-13T20:09:00.000,2018-06-09T10:07:53.000,2019-05-14T00:45:08.000
185909214,843261862,WL3D,ISSUE 3-DAY NOTICE,2020-05-02T11:40:00.000,2020-06-09T20:05:00.000,2020-05-03T10:12:53.000,2020-06-17T00:45:04.000
185894119,843052853,WA05,REPAIR OPERATIVE HYDRANT,2019-05-21T13:00:00.000,2019-05-21T13:35:00.000,2019-04-17T13:15:59.000,2019-05-27T00:45:08.000
1988396,1732200,SA25,REPAIR CONNECTION,2022-09-07T17:24:00.000,2022-09-07T17:25:00.000,2012-10-04T22:44:51.000,2022-09-08T00:50:02.000
2107641,841795825,SA25,REPAIR CONNECTION,,,2013-05-04T12:17:30.000,2019-10-01T00:45:07.000
184830210,841812660,SA25,REPAIR CONNECTION,,,2013-05-15T12:17:02.000,2019-10-01T00:45:07.000
186059638,843201473,SCR,ROD CATCH BASIN CONNECTION,2020-01-06T08:15:00.000,2020-01-06T09:00:00.000,2020-01-19T12:37:59.000,2020-01-20T00:45:02.000
185824736,842974247,WA10,RESET/REPLACE VALVE BOX,2019-06-17T12:30:00.000,2019-06-17T13:30:00.000,2018-10-05T09:04:19.000,2019-06-23T00:45:07.000
185820349,843085673,WA12I,APPLY HOT PATCH,2019-07-21T09:25:00.000,2019-07-21T09:30:00.000,2018-09-26T10:33:13.000,2019-07-23T00:45:09.000
185852163,843001650,SVAC,VACTOR SEWER,,,2018-12-07T09:12:55.000,2019-05-06T00:45:07.000
185861788,843009246,SA24,REPAIR BASIN-MAJOR,,2019-06-24T00:00:00.000,2018-12-31T09:02:03.000,2019-06-30T00:45:09.000
185343708,842362256,SA25,REPAIR CONNECTION,,,2015-11-18T10:07:51.000,2020-04-23T00:45:01.000
185979498,843110786,WA04,REPAIR INOPERATIVE HYDRANT,2019-08-14T11:00:00.000,2019-08-14T11:45:00.000,2019-07-28T09:30:34.000,2019-08-18T00:45:07.000
185932338,843083435,SA26,REPLACE MANHOLE CASTING,2019-06-01T16:00:00.000,2019-06-01T19:00:00.000,2019-05-29T08:30:52.000,2019-06-03T00:45:09.000
186059843,843194070,WA04,REPAIR INOPERATIVE HYDRANT,,,2020-01-06T11:20:00.000,2020-01-07T00:45:02.000
185901885,843144521,WA12I,APPLY HOT PATCH,2020-04-22T12:50:00.000,2020-04-22T13:15:00.000,2019-04-05T14:51:07.000,2020-04-26T00:45:04.000
1776588,1531731,SRB,REPAIR SEWER BREAK (CONTRACT.),,2020-12-03T08:36:00.000,2011-11-15T15:50:04.000,2020-12-04T00:45:01.000
185771263,843083432,SA24,REPAIR BASIN-MAJOR,2019-07-06T00:30:00.000,2019-07-06T03:30:00.000,2019-05-29T08:21:53.000,2019-07-24T00:45:08.000
185771263,843083436,SA22O,INSTALL HOOD & HANGER ON OPEN CURB PIECE,2019-07-06T00:30:00.000,2019-07-06T00:40:00.000,2019-05-29T08:37:37.000,2019-07-24T00:45:08.000
185857231,843078616,SVAC,VACTOR SEWER,2019-05-05T07:00:00.000,2019-05-05T15:30:00.000,2019-05-18T19:06:38.000,2019-05-19T00:45:07.000
